name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Anne Bronte,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and poet; The Tenant of Wildfell Hall, Agnes Grey; realist critic of marriage and dependency","plainspoken, morally exacting, sober, quietly radical"
Mary Wollstonecraft Shelley,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist; Frankenstein, The Last Man; foundational figure in science fiction","gothic, philosophical, desolate, Promethean"
Robert Louis Stevenson,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"Scottish novelist and essayist; Treasure Island, Strange Case of Dr Jekyll and Mr Hyde","adventurous, lucid, shadow-doubled, fleet"
Joseph Conrad,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"Polish-British novelist and mariner; Heart of Darkness, Lord Jim; modernist analyst of empire","brooding, maritime, oblique, morally fogbound"
H. G. Wells,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and social thinker; The Time Machine, The War of the Worlds; pioneer of scientific romance","speculative, brisk, satirical, future-facing"
Frances Hodgson Burnett,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"British-American novelist and playwright; The Secret Garden, A Little Princess; classic children's storyteller","tender, restorative, garden-bright, sentimental"
L. M. Montgomery,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"Canadian novelist; Anne of Green Gables, Emily of New Moon; chronicler of imagination and island community","buoyant, picturesque, wistful, spirited"
Elizabeth Cleghorn Gaskell,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and biographer; North and South, Cranford; interpreter of industrial conflict","sympathetic, socially alert, domestic, quietly panoramic"
Anthony Trollope,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,English novelist and civil servant; the Barsetshire and Palliser series; chronicler of institutions,"conversational, patient, institutional, dryly amused"
Wilkie Collins,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and playwright; The Woman in White, The Moonstone; pioneer of sensation and detective fiction","suspenseful, intricate, conspiratorial, page-turning"
Arthur Conan Doyle,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,Scottish writer and physician; creator of Sherlock Holmes; architect of modern detective fiction,"deductive, brisk, atmospheric, clue-driven"
George MacDonald,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"Scottish author and minister; Phantastes, The Princess and the Goblin; formative fantasy writer","mystical, fairy-lit, allegorical, childlike-wise"
Virginia Woolf,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"English novelist and essayist; Mrs Dalloway, To the Lighthouse; modernist interiority","lyrical, fluid, introspective, impressionistic"
James Joyce,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"Irish novelist and modernist; Ulysses, Dubliners; radical stream-of-consciousness","experimental, polyphonic, allusive, labyrinthine"
D. H. Lawrence,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"English novelist and poet; Sons and Lovers, Women in Love; explorer of desire and industrial modernity","sensual, volcanic, instinctive, polemically alive"
E. M. Forster,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"English novelist and essayist; A Passage to India, Howards End; critic of class and imperial distance","lucid, humane, ironic, connection-seeking"
Katherine Mansfield,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English short fiction,,"New Zealand modernist short-story writer; The Garden Party, Bliss; innovator of lyrical compression","delicate, elliptical, fleeting, emotionally prismatic"
George Orwell,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"English novelist and essayist; Nineteen Eighty-Four, Animal Farm; political language critic","lucid, austere, polemical, prophetic"
W. E. B. Du Bois,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English essays/prose,,"American sociologist, historian, and civil-rights leader; The Souls of Black Folk; co-founder of the NAACP","prophetic, scholarly, double-voiced, emancipatory"
Zora Neale Hurston,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American novelist, folklorist, and anthropologist; Their Eyes Were Watching God, Mules and Men","vernacular-rich, exuberant, folkloric, self-possessed"
F. Scott Fitzgerald,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American novelist; The Great Gatsby, Tender Is the Night; chronicler of Jazz Age glamour and loss","glittering, wistful, romantic, disillusioned"
Ernest Hemingway,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American novelist and journalist; The Sun Also Rises, The Old Man and the Sea; Nobel laureate","spare, stoic, muscular, understated"
William Faulkner,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American novelist; The Sound and the Fury, As I Lay Dying; Nobel laureate of Southern modernism","ornate, recursive, torrential, haunted"
John Steinbeck,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American novelist; The Grapes of Wrath, East of Eden; Nobel laureate and chronicler of working people","earthy, compassionate, biblical, socially rooted"
Ralph Ellison,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"American novelist and critic; Invisible Man, Shadow and Act; analyst of race, identity, and American democracy","jazz-inflected, layered, satirical, intellectually electric"
James Baldwin,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"American novelist and essayist; Giovanni's Room, The Fire Next Time; civil-rights intellectual","incisive, eloquent, intimate, prophetic"
Toni Morrison,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"American novelist and editor; Beloved, Song of Solomon; Nobel laureate","incantatory, mythic, polyphonic, devastating"
Joan Didion,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English essays/prose,,"American essayist and novelist; Slouching Towards Bethlehem, The White Album; anatomist of American fracture","cool, crystalline, ominous, reportorial"
Ursula K. Le Guin,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"American novelist and essayist; Earthsea, The Left Hand of Darkness; major speculative anthropologist","lucid, anthropological, mythic, quietly anarchic"
Kurt Vonnegut,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose/essays,,"American novelist; Slaughterhouse-Five, Cat's Cradle; satirist of war and technological folly","deadpan, humane, absurdist, deceptively simple"
Flannery O'Connor,literary,en,20c,expand_literary_modern_en,curated original texts,work,3,original English prose,,"American short-story writer and novelist; A Good Man Is Hard to Find, Wise Blood; Southern Gothic moralist","grotesque, mordant, grace-struck, darkly comic"
Marcel Proust,literary,fr,20c,expand_literary_multilingual,Project Gutenberg,work,3,French originals only,,French novelist; In Search of Lost Time; architect of memory-driven modernism,"sensuous, recursive, analytical, opulent"
Gustave Flaubert,literary,fr,19c,expand_literary_multilingual,Project Gutenberg,work,3,French originals only,,French novelist; Madame Bovary; architect of modern realist style,"exact, impersonal, ironic, sculpted"
Emile Zola,literary,fr,19c,expand_literary_multilingual,Project Gutenberg,work,3,French originals only,,"French novelist and journalist; Germinal, the Rougon-Macquart cycle; founder of literary naturalism","forensic, crowded, materialist, socially volcanic"
Albert Camus,literary,fr,20c,expand_literary_multilingual,curated French originals,work,3,French originals only,,"French-Algerian novelist and philosopher; The Stranger, The Plague; Nobel laureate","lucid, existential, spare, sunlit"
Jean-Paul Sartre,literary,fr,20c,expand_literary_multilingual,curated French originals,work,3,French originals only,,"French philosopher, novelist, and playwright; Nausea, No Exit; central theorist of existentialism","dialectical, existential, severe, freedom-obsessed"
Simone de Beauvoir,literary,fr,20c,expand_literary_multilingual,curated French originals,work,3,French originals only,,"French philosopher, novelist, and memoirist; The Second Sex; foundational feminist existentialist","incisive, embodied, analytical, emancipatory"
Colette,literary,fr,20c,expand_literary_multilingual,curated French originals,work,3,French originals only,,"French novelist and performer; Chéri, Gigi; sensual chronicler of gender and appetite","tactile, feline, intimate, sensuously exact"
Franz Kafka,literary,de,20c,expand_literary_multilingual,Project Gutenberg,work,3,German originals only,,"German-language novelist and short-story writer; The Trial, The Metamorphosis; modernist emblem","absurd, claustrophobic, bureaucratic, dreamlike"
Friedrich Nietzsche,literary,de,19c,expand_literary_multilingual,Project Gutenberg,work,3,German originals only,,"German philosopher and philologist; Thus Spoke Zarathustra, Beyond Good and Evil; radical critic of morality","aphoristic, incendiary, prophetic, hammer-struck"
Johann Wolfgang von Goethe,literary,de,18c_19c,expand_literary_multilingual,Project Gutenberg,work,3,German originals only,,"German writer, thinker, and statesman; Faust, The Sorrows of Young Werther; Weimar polymath","lyrical, philosophical, expansive, classical"
Thomas Mann,literary,de,20c,expand_literary_multilingual,curated German originals,work,3,German originals only,,"German novelist and essayist; The Magic Mountain, Buddenbrooks; Nobel laureate of bourgeois decline","ironic, symphonic, cerebral, decadently precise"
Bertolt Brecht,literary,de,20c,expand_literary_multilingual,curated German originals,work,3,German originals only,,"German playwright and poet; The Threepenny Opera, Mother Courage; creator of epic theatre","didactic, estranging, sardonic, streetwise"
Hannah Arendt,literary,de,20c,expand_literary_multilingual,curated German originals,work,3,German originals only,,"German-American political theorist; The Origins of Totalitarianism, The Human Condition; analyst of power and judgment","conceptual, unsparing, civic-minded, provocatively clear"
Hannah Arendt,literary,en,20c,expand_literary_multilingual,curated English originals,work,3,English originals only,,"German-American political theorist; The Origins of Totalitarianism, The Human Condition; analyst of power and judgment","conceptual, unsparing, civic-minded, provocatively clear"
Jorge Luis Borges,literary,es,20c,expand_literary_multilingual,curated Spanish originals,work,3,Spanish originals only,,"Argentine writer and poet; Ficciones, Labyrinths; metaphysical fabulist","erudite, labyrinthine, crystalline, paradoxical"
Gabriel Garcia Marquez,literary,es,20c,expand_literary_multilingual,curated Spanish originals,work,3,Spanish originals only,,Colombian novelist and journalist; One Hundred Years of Solitude; Nobel laureate,"baroque, magical, cyclical, folkloric"
Federico Garcia Lorca,literary,es,20c,expand_literary_multilingual,curated Spanish originals,work,3,Spanish originals only,,"Spanish poet and playwright; Blood Wedding, Gypsy Ballads; icon of the Generation of '27","moonlit, tragic, folkloric, blood-red"
Italo Calvino,literary,it,20c,expand_literary_multilingual,curated Italian originals,work,3,Italian originals only,,"Italian novelist and essayist; Invisible Cities, If on a winter's night a traveler; master of combinatorial fiction","weightless, geometric, playful, crystalline"
Lu Xun,literary,zh,20c,expand_literary_multilingual,Project Gutenberg,work,3,Chinese originals only,,"Chinese writer and essayist; Diary of a Madman, The True Story of Ah Q; founder of modern Chinese literature","biting, allegorical, austere, subversive"
Wu Jianren,literary,zh,19c_20c,expand_literary_multilingual,Project Gutenberg,work,3,Chinese originals only,,Chinese novelist and journalist; Strange Events Eyewitnessed over Twenty Years; late-Qing social satirist,"episodic, caustic, panoramic, reform-minded"
Feng Menglong,literary,zh,16c_17c,expand_literary_multilingual,Project Gutenberg,work,3,Chinese originals only,,Chinese writer and editor; the Three Words story collections; preserver of vernacular Ming narrative,"earthy, anecdotal, worldly, proverb-rich"
Lao She,literary,zh,20c,expand_literary_multilingual,curated Chinese originals,work,3,Chinese originals only,,"Chinese novelist and playwright; Rickshaw Boy, Teahouse; chronicler of Beijing vernacular life","vernacular, humane, tragicomic, streetwise"
Eileen Chang,literary,zh,20c,expand_literary_multilingual,curated Chinese originals,work,3,Chinese originals only,,"Chinese-American novelist and essayist; Love in a Fallen City, The Golden Cangue; anatomist of urban intimacy","jewel-cut, sardonic, sensuous, emotionally cool"
Eileen Chang,literary,en,20c,expand_literary_multilingual,curated English originals,work,3,English originals only,,"Chinese-American novelist and essayist; Love in a Fallen City, The Golden Cangue; anatomist of urban intimacy","jewel-cut, sardonic, sensuous, emotionally cool"
Natsume Soseki,literary,ja,20c,expand_literary_multilingual,Aozora Bunko,work,3,Japanese originals only,,"Japanese novelist and scholar; I Am a Cat, Kokoro; architect of modern Japanese fiction","wry, restrained, psychological, quietly ironic"
Ryunosuke Akutagawa,literary,ja,20c,expand_literary_multilingual,Aozora Bunko,work,3,Japanese originals only,,"Japanese short-story writer; Rashomon, In a Grove; modern reworker of classical tales","razor-edged, uncanny, erudite, morally unstable"
Osamu Dazai,literary,ja,20c,expand_literary_multilingual,Aozora Bunko,work,3,Japanese originals only,,"Japanese novelist; No Longer Human, The Setting Sun; confessional voice of alienation","self-lacerating, decadent, intimate, darkly comic"
Fyodor Dostoevsky,literary,ru,19c,expand_literary_multilingual,Russian Wikisource,work,3,Russian originals only,,"Russian novelist; Crime and Punishment, The Brothers Karamazov; psychological realist","fevered, polyphonic, penitential, abyssal"
Leo Tolstoy,literary,ru,19c_20c,expand_literary_multilingual,Russian Wikisource,work,3,Russian originals only,,"Russian novelist and moral thinker; War and Peace, Anna Karenina; global realist canon","epic, lucid, humane, panoramic"
Anton Chekhov,literary,ru,19c_20c,expand_literary_multilingual,Russian Wikisource,work,3,Russian originals only,,"Russian playwright and short-story writer; The Cherry Orchard, Uncle Vanya; master of modern realism","subtle, quiet, bittersweet, observant"
Agatha Christie,literary,en,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose; US-PD early works only,,English detective novelist; Hercule Poirot and early mysteries; best-selling novelist of all time,"plotted, brisk, tidy, misdirecting"
G. K. Chesterton,literary,en,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose/essays,,"English essayist and novelist; Father Brown stories, Orthodoxy; master of paradox","paradoxical, jovial, aphoristic, combative"
Rudyard Kipling,literary,en,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose,,"English writer of empire and India; The Jungle Book, Kim; Nobel laureate","rhythmic, vivid, imperial, ballad-like"
Lord Dunsany,literary,en,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English fantasy prose,,Anglo-Irish fantasist; The Gods of Pegana; founder of modern fantasy prose,"mythic, ornate, dreamlike, incantatory"
E. Nesbit,literary,en,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose,,"English children's novelist; Five Children and It, The Railway Children","playful, brisk, wry, matter-of-fact magical"
William Morris,literary,en,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English fantasy prose/essays,,"English designer, poet, and fantasy pioneer; News from Nowhere, The Well at the World's End","archaic, ornamental, utopian, romance-inflected"
P. G. Wodehouse,literary,en,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose; US-PD early works only,,English comic novelist; Jeeves and Blandings; virtuoso of the comic sentence,"farcical, urbane, exuberant, simile-rich"
Sinclair Lewis,literary,en,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose; US-PD early works only,,"American novelist; Main Street, Babbitt; first American Nobel laureate in literature","satirical, documentary, colloquial, deflating"
Bram Stoker,literary,en,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,original English prose,,Irish novelist; Dracula; gothic horror in documentary form,"epistolary, gothic, suspenseful, atmospheric"
Liu E,literary,zh,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,Late-Qing novelist; The Travels of Lao Can; social panorama of a collapsing dynasty,"itinerant, observational, elegiac, reformist"
Li Boyuan,literary,zh,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,Late-Qing satirist; Officialdom Unmasked; exposé fiction of bureaucratic corruption,"episodic, sardonic, panoramic, muckraking"
Zeng Pu,literary,zh,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,Late-Qing novelist; A Flower in a Sinful Sea; roman à clef of diplomatic society,"allusive, cosmopolitan, satirical, dense"
Su Manshu,literary,zh,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,Poet-monk and novelist of the late Qing; The Lone Swan; romantic hybrid of classical and modern,"melancholic, lyrical, confessional, ornate"
Zhu Ziqing,literary,zh,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,Modern Chinese essayist; Beiying (Retreating Figure); model of vernacular prose,"limpid, restrained, tender, precise"
Yu Dafu,literary,zh,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Chinese originals only,,May Fourth fiction writer; Sinking; confessional modern vernacular fiction,"confessional, brooding, sensual, self-lacerating"
Mori Ogai,literary,ja,19c_20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,"Meiji novelist, translator, and army surgeon; The Wild Geese, The Dancing Girl","classical, restrained, analytic, austere"
Higuchi Ichiyo,literary,ja,19c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,Meiji woman writer; Takekurabe; classical diction turned on modern Tokyo life,"flowing, classical, compassionate, compressed"
Miyazawa Kenji,literary,ja,20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,Poet and children's author of Tohoku; Night on the Galactic Railroad,"cosmic, innocent, mineral-bright, devotional"
Okamoto Kido,literary,ja,20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only; detective fiction,,Playwright and detective novelist; the Hanshichi mysteries of old Edo,"atmospheric, antiquarian, deft, anecdotal"
Izumi Kyoka,literary,ja,19c_20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,Novelist of the uncanny; The Holy Man of Mount Koya; gothic romanticism in Japanese,"phantasmagoric, ornate, eerie, incantatory"
Shimazaki Toson,literary,ja,20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,"Naturalist novelist and poet; The Broken Commandment, Before the Dawn","confessional, historical, sober, accumulative"
Arishima Takeo,literary,ja,20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,Taisho novelist; A Certain Woman; humanist fiction of self and society,"psychological, earnest, expansive, conflicted"
Kunikida Doppo,literary,ja,19c_20c,expand_multilingual_2026_07,Aozora Bunko,work,3,Japanese originals only,,Meiji writer; Musashino; lyrical naturalism and the modern short story,"lyrical, plain, nature-attuned, wistful"
Victor Hugo,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,"French Romantic titan; Les Misérables, Notre-Dame de Paris; also a monumental political orator","oceanic, antithetical, visionary, declamatory"
Guy de Maupassant,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,"French master of the short story; Boule de Suif, Bel-Ami","economical, ironic, sensory, pitiless"
Jules Verne,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,French father of science fiction; Twenty Thousand Leagues Under the Seas,"expository, adventurous, enumerative, wonder-driven"
Honore de Balzac,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,French novelist of La Comédie humaine; encyclopedist of post-Napoleonic society,"torrential, detailed, worldly, typological"
Stendhal,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist; The Red and the Black, The Charterhouse of Parma; psychological precision","dry, swift, ironic, analytical"
George Sand,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,French novelist and memoirist; Consuelo; rural and romantic fiction,"flowing, idealistic, pastoral, humane"
Alexandre Dumas,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,"French novelist of historical adventure; The Three Musketeers, Monte Cristo","propulsive, dialogic, swashbuckling, generous"
Anatole France,literary,fr,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,French novelist and critic; Penguin Island; Nobel laureate ironist,"urbane, skeptical, classical, mischievous"
Alphonse Daudet,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only,,"Provençal novelist; Letters from My Windmill, Tartarin","sunlit, affectionate, comic, anecdotal"
Maurice Leblanc,literary,fr,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only; detective fiction; single PG source so exploratory,,"French creator of Arsène Lupin, gentleman burglar","playful, twisting, elegant, cliffhanging"
Gaston Leroux,literary,fr,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only; detective fiction,,"French mystery novelist; The Mystery of the Yellow Room, The Phantom of the Opera","melodramatic, ingenious, journalistic, feverish"
Emile Gaboriau,literary,fr,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,French originals only; detective fiction,,French pioneer of the detective novel; Monsieur Lecoq,"procedural, methodical, serialized, suspenseful"
Theodor Fontane,literary,de,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,German realist; Effi Briest; ironic chronicler of Prussian society,"conversational, ironic, poised, socially acute"
Stefan Zweig,literary,de,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,"Austrian novelist and biographer; Amok, chess and passion novellas","feverish, psychological, polished, propulsive"
Rainer Maria Rilke,literary,de,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,Prague-born German poet; The Notebooks of Malte Laurids Brigge,"inward, imagistic, elegiac, luminous"
Heinrich Heine,literary,de,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,"German poet and essayist; Book of Songs, the Harz Journey","witty, lyrical, barbed, self-ironizing"
E. T. A. Hoffmann,literary,de,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,"German Romantic fantasist; The Golden Pot, tales of the uncanny","grotesque, musical, uncanny, doubled"
Arthur Schnitzler,literary,de,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,"Viennese playwright and novelist; Reigen, Casanova's Homecoming; anatomist of desire","clinical, erotic, interior, disenchanted"
Hermann Hesse,literary,de,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only; US-PD early works only,,"German-Swiss novelist; Siddhartha, Demian; Nobel laureate of the inward path","meditative, seeking, parabolic, serene"
Theodor Storm,literary,de,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,German originals only,,"North German novella master; Immensee, Der Schimmelreiter","elegiac, coastal, framed, quietly tragic"
Benito Perez Galdos,literary,es,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Spanish realist; Fortunata y Jacinta, the National Episodes","panoramic, colloquial, humane, historical"
Miguel de Unamuno,literary,es,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,"Basque philosopher-novelist; Mist, The Tragic Sense of Life","agonistic, paradoxical, metaphysical, insistent"
Vicente Blasco Ibanez,literary,es,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,Valencian novelist; The Four Horsemen of the Apocalypse,"vigorous, regional, cinematic, polemical"
Emilia Pardo Bazan,literary,es,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,Galician countess and naturalist novelist; The House of Ulloa,"naturalist, incisive, descriptive, proto-feminist"
Leopoldo Alas,literary,es,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,Spanish novelist and critic 'Clarín'; La Regenta,"ironic, minute, provincial-panoramic, mordant"
Pio Baroja,literary,es,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only; US-PD early works only,,Basque novelist of the Generation of '98; The Quest trilogy,"abrupt, restless, unadorned, picaresque"
Juan Valera,literary,es,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,Spanish originals only,,Spanish diplomat-novelist; Pepita Jiménez,"urbane, epistolary, classical, gently ironic"
Luigi Pirandello,literary,it,20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Italian originals only,,Sicilian dramatist and novelist; Six Characters in Search of an Author; Nobel laureate,"meta-theatrical, paradoxical, humoristic, destabilizing"
Giovanni Verga,literary,it,19c,expand_multilingual_2026_07,Italian Wikisource,work,3,Italian originals only,,Sicilian verismo master; I Malavoglia,"choral, fatalistic, dialect-inflected, austere"
Italo Svevo,literary,it,20c,expand_multilingual_2026_07,Italian Wikisource,work,3,Italian originals only,,Triestine modernist; Zeno's Conscience; comic psychoanalytic self-portraiture,"self-deprecating, analytic, digressive, wry"
Edmondo De Amicis,literary,it,19c,expand_multilingual_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian writer and traveler; Cuore, travel sketches of Europe and Morocco","sentimental, observant, civic, descriptive"
Antonio Fogazzaro,literary,it,19c_20c,expand_multilingual_2026_07,Project Gutenberg,work,3,Italian originals only,,Italian novelist of faith and doubt; Piccolo mondo antico,"spiritual, romantic, alpine, conflicted"
