name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Miguel de Cervantes,literary,es,16c_17c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish novelist and playwright; Don Quixote, Exemplary Novels; foundational innovator of the modern novel","polyphonic, humane, mischievous, reality-bending"
Mariano Jose de Larra,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish Romantic essayist and journalist; Figaro articles; incisive critic of public manners","acerbic, urbane, impatient, mirror-sharp"
Jose Maria de Pereda,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish realist novelist; Sotileza, Peñas arriba; chronicler of Cantabrian society","briny, regional, conservative, thickly observed"
Pedro Antonio de Alarcon,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish novelist and travel writer; The Three-Cornered Hat, The Scandal; vivid post-Romantic storyteller","nimble, picturesque, suspenseful, proverb-bright"
Jose Zorrilla,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish Romantic poet and dramatist; Don Juan Tenorio; renovator of national legend","baroque, theatrical, spectral, rhyme-driven"
Ramon del Valle-Inclan,literary,es,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish novelist and dramatist; Sonatas, Bohemian Lights; creator of the esperpento mode","grotesque, aristocratic, hallucinatory, acid-baroque"
Jose Marti,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Cuban poet, essayist, and independence leader; Versos sencillos, Nuestra América; architect of Latin American modernism","oracular, liberatory, image-bright, civic"
Jose Hernandez,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Argentine poet and journalist; Martín Fierro; canonical voice of gaucho literature","vernacular, defiant, ballad-driven, plains-wide"
Angel Ganivet,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish essayist and diplomat; Idearium español, The Conquest of the Kingdom of Maya; precursor of the Generation of '98","aphoristic, civilizational, skeptical, inwardly imperial"
Armando Palacio Valdes,literary,es,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish realist novelist; The Lost Village, Sister Saint Sulpice; observer of industrial and domestic change","warm, scenic, gently satirical, socially attentive"
Jose Echegaray,literary,es,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish dramatist, mathematician, and statesman; The Great Galeoto; Nobel laureate in literature","melodramatic, torrential, honor-torn, mechanically plotted"
Antonio de Trueba,literary,es,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Spanish public-domain text,,"Spanish poet and storyteller; Tales of Color Rose, popular Basque legends; collector of oral tradition","folkloric, genial, fireside, sentiment-tinted"
Alessandro Manzoni,literary,it,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian novelist and poet; The Betrothed, Sacred Hymns; central shaper of modern literary Italian","providential, historical, compassionate, river-broad"
Carlo Collodi,literary,it,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian writer and journalist; The Adventures of Pinocchio; satirist of education and nation-building","mischievous, fable-cut, kinetic, morally elastic"
Ugo Foscolo,literary,it,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian poet and novelist; Last Letters of Jacopo Ortis, Of the Sepulchres; neoclassical Romantic exile","sepulchral, passionate, civic, marble-toned"
Matilde Serao,literary,it,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian novelist and newspaper founder; The Land of Cockaigne, The Belly of Naples; chronicler of urban precarity","crowded, tactile, journalistic, compassionately unsparing"
Federigo Tozzi,literary,it,20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian modernist novelist; With Closed Eyes, Three Crosses; anatomist of provincial estrangement","abrasive, inward, fragmentary, soil-dark"
Ippolito Nievo,literary,it,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian novelist and patriot; Confessions of an Italian; panoramic witness to the Risorgimento","memoir-sweeping, ironic, patriotic, generational"
Silvio Pellico,literary,it,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian writer and patriot; My Prisons, Francesca da Rimini; emblematic voice of Risorgimento captivity","devout, restrained, prison-lit, morally steadfast"
Giovanni Pascoli,literary,it,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian poet and classicist; Myricae, Canti di Castelvecchio; innovator of intimate symbolism","minute, tremulous, nest-bound, acoustically luminous"
Ludovico Ariosto,literary,it,15c_16c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian Renaissance poet; Orlando Furioso; master of interlaced chivalric narrative","spiraling, courtly, ironic, wonder-strewn"
Torquato Tasso,literary,it,16c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian Renaissance poet; Jerusalem Delivered, Aminta; epic dramatist of faith and desire","ceremonial, anguished, martial, honeyed"
Vittorio Alfieri,literary,it,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian tragedian and memoirist; Saul, Myrrha; fierce opponent of tyranny","granite, republican, compressed, will-driven"
Giuseppe Giacosa,literary,it,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original Italian public-domain text,,"Italian playwright and librettist; As the Leaves, La Bohème libretti; observer of bourgeois transition","conversational, bittersweet, stage-fluid, domestic"
